Precinct,2016 Primary,2016 General,2018 Primary,2018 General
027-051,3,3,2,3
027-052,1,1,1,1
027-053,2,2,2,3
027-054,3,2,3,3
027-055,3,3,3,3
027-056,3,3,3,3
027-057,2,2,1,2
027-058,3,3,3,3
027-059,3,2,2,2
027-060,2,2,1,2
027-061,3,3,3,3
027-062,1,1,1,2
027-063,1,1,1,2
027-064,1,1,1,2
027-065,1,1,1,1
027-066,1,1,1,1
027-067,1,1,1,1
028-001,2,2,3,3
028-002,1,1,1,1
028-003,3,3,3,3
028-004,3,3,3,3
028-005,2,2,2,2
028-006,1,1,1,1
028-007,2,2,3,3
028-008,2,2,2,2
028-009,2,2,2,2
028-010,1,1,1,1
028-011,1,1,1,1
028-012,2,2,2,2
028-013,1,2,1,2
028-014,3,3,3,3
028-015,1,1,1,2
